epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.4771,0.99747,2.83525,1.32567,0.68862,0.58233,0.6212,0.42865,1.1702,2.18793,1.37867,0.00030082,0.00030082,0.00030082
2,90.0577,1.01624,1.74192,1.30574,0.68022,0.63968,0.70265,0.45297,1.19772,1.75381,1.40861,0.000544042,0.000544042,0.000544042
3,118.527,1.00827,1.50365,1.31392,0.58938,0.59924,0.65652,0.42227,1.15915,1.96281,1.40908,0.00072727,0.00072727,0.00072727
4,146.919,1.00663,1.35298,1.30119,0.76555,0.72741,0.81499,0.55115,1.10504,1.42822,1.37485,0.000639027,0.000639027,0.000639027
5,175.372,0.96738,1.18178,1.26607,0.80845,0.78776,0.84888,0.58964,1.07261,1.09752,1.3105,0.000549036,0.000549036,0.000549036
6,203.793,0.93456,1.04903,1.24359,0.76667,0.71962,0.75073,0.51636,1.12983,1.3625,1.36307,0.000459045,0.000459045,0.000459045
7,232.215,0.91931,0.9754,1.23637,0.86085,0.76571,0.85272,0.60637,1.06066,1.05259,1.28946,0.000369054,0.000369054,0.000369054
8,260.549,0.89284,0.89889,1.21046,0.89515,0.83379,0.90518,0.6396,1.06998,0.86068,1.29335,0.000279063,0.000279063,0.000279063
9,288.848,0.8589,0.83204,1.18658,0.90417,0.83719,0.91254,0.66115,1.00088,0.833,1.24185,0.000189072,0.000189072,0.000189072
10,317.78,0.83537,0.76537,1.18033,0.92406,0.85404,0.92659,0.67799,0.9963,0.76268,1.23376,9.9081e-05,9.9081e-05,9.9081e-05
